dish_name,countries_of_origin,ingredients
Schnitz Un Knepp,['United States'],"['cinnamon', 'brown_sugar', 'milk', 'ham', 'flour', 'sugar', 'apple', 'salt', 'butter', 'dried_apple', 'baking_powder', 'egg']"
Musakhan,['Palestine'],"['saffron', 'flatbread', 'black_pepper', 'chicken', 'cinnamon', 'lemon_juice', 'nut', 'sumac', 'lemon', 'pine_nut', 'onion', 'olive_oil', 'salt', 'pepper', 'olive', 'oil', 'allspice']"
Spekesild,"['Finland', 'Sweden', 'Norway', 'Denmark']","['salt', 'herring']"
Halo-halo,['Philippines'],"['sweetened_bean', 'milk', 'coconut', 'pinipig', 'banana', 'ube_halaya', 'jelly', 'sago_pearl', 'crushed_ice', 'ice_cream', 'jackfruit', 'bean', 'evaporated_milk', 'sago', 'sweetened_banana_slice', 'cream', 'jelly_cube', 'ube', 'ice', 'nata_de_coco', 'leche_flan', 'coconut_strip']"
Eish Shamsi,['Egypt'],"['yeast', 'wheat', 'flour', 'salt', 'wheat_flour', 'water', 'sourdough_starter']"
Gozinaki,['Georgia'],"['walnut', 'lemon_juice', 'lemon', 'honey', 'sugar']"
Taco Rice,['Japan'],"['salsa', 'avocado', 'lettuce', 'ground_beef', 'cream', 'onion', 'sour_cream', 'rice', 'cooked_white_rice', 'seasoning', 'tomato', 'shredded_cheese', 'cheese', 'taco_seasoning', 'hot_sauce', 'beef']"
Papet Vaudois,['Switzerland'],"['white_wine', 'wine', 'cream', 'onion', 'sausage', 'leek', 'potato', 'salt', 'butter', 'pepper']"
Pommes Dauphine,['France'],"['nutmeg', 'cheese', 'flour', 'garlic', 'choux_pastry', 'potato', 'salt', 'butter', 'pepper', 'herb', 'pastry', 'egg']"
Cazón En Adobo,['Spain'],"['dogfish', 'flour', 'oregano', 'garlic', 'olive_oil', 'salt', 'paprika', 'pimenton', 'vinegar', 'olive', 'oil']"
Fårikål,['Norway'],"['wheat', 'flour', 'lamb', 'peppercorn', 'salt', 'cabbage', 'wheat_flour', 'water', 'black_peppercorn']"
Supplì,['Italy'],"['onion', 'garlic', 'mozzarella', 'pecorino_cheese', 'mozzarella_cheese', 'tomato_sauce', 'broth', 'tomato', 'bread', 'rice', 'cheese', 'olive', 'egg', 'bread_crumb', 'arborio_rice', 'chicken', 'chicken_broth', 'olive_oil', 'oil']"
Bilo-bilo,['Philippines'],"['glutinou_rice_flour', 'saba_banana', 'milk', 'flour', 'coconut', 'sweet_potato', 'pandan_leaf', 'sugar', 'rice', 'potato', 'jackfruit', 'banana', 'coconut_milk', 'ube', 'tapioca_pearl', 'water']"
Pandoro,['Italy'],"['yeast', 'vanilla', 'milk', 'water', 'powdered_sugar', 'flour', 'honey', 'lemon', 'orange', 'sugar', 'salt', 'butter', 'lemon_zest', 'cocoa_butter', 'egg', 'orange_zest']"
Nasi Goreng Pattaya,"['Malaysia', 'Indonesia', 'Singapore']","['chicken', 'cucumber', 'chili_sauce', 'rice', 'chili', 'egg']"
Jianbing,['China'],"['lettuce', 'hoisin_sauce', 'flour', 'chili', 'crispy_wonton', 'scallion', 'pickled_vegetable', 'sesame_seed', 'vegetable', 'cilantro', 'fermented_tofu_sauce', 'fried_dough_stick', 'tofu', 'water', 'wheat', 'ham', 'chili_sauce', 'sausage', 'egg', 'wheat_flour']"
Buchweizentorte,['Germany'],"['vanilla', 'cinnamon', 'milk', 'flour', 'lemon', 'buckwheat_flour', 'sugar', 'almond', 'salt', 'butter', 'vanilla_extract', 'lemon_zest', 'raisin', 'baking_powder', 'egg']"
Tangpyeong-chae,"['North Korea', 'South Korea']","['jelly', 'watercres', 'mung_bean_sprout', 'beef', 'red_chili_pepper', 'onion', 'garlic', 'shredded_beef', 'green_onion', 'sesame_oil', 'mung_bean_jelly', 'oil', 'pepper', 'bean', 'soy_sauce', 'chili', 'egg']"
Sashimi,['Japan'],"['variou_seafood', 'seafood']"
Saltah,['Yemen'],"['onion', 'garlic', 'cardamom', 'pepper', 'coriander', 'chili', 'cilantro', 'ginger', 'cumin', 'tomato', 'water', 'lemon_juice', 'lamb', 'parsley', 'fenugreek', 'lemon', 'turmeric', 'salt', 'chili_pepper']"
Bánh Xèo,['Vietnam'],"['milk', 'lettuce', 'flour', 'mushroom', 'coconut', 'onion', 'garlic', 'mung_bean', 'shrimp', 'chili', 'mint_leaf', 'turmeric_powder', 'sugar', 'fish_sauce', 'bean', 'water', 'fish', 'pork_belly', 'mint', 'green_onion', 'rice', 'pork', 'rice_flour', 'egg', 'turmeric', 'bean_sprout', 'coconut_milk', 'basil', 'lime']"
Har Gow,"['Hong Kong', 'Macau', 'China']","['white_pepper', 'wheat_starch', 'starch', 'lard', 'shrimp', 'scallion', 'bamboo_shoot', 'sugar', 'corn_starch', 'water', 'wheat', 'corn', 'fat', 'pork', 'pork_fat', 'tapioca_starch', 'sesame_oil', 'salt', 'pepper', 'oil']"
Roujiamo,['China'],"['wine', 'flour', 'garlic', 'onion', 'dark_soy_sauce', 'soy_sauce', 'chili', 'fennel', 'sichuan_peppercorn', 'sugar', 'cilantro', 'ginger', 'cumin', 'water', 'yeast', 'cinnamon', 'green_onion', 'star_anise', 'pork', 'peppercorn', 'cooking_wine', 'fennel_seed']"
Trdelník,"['Slovakia', 'Hungary', 'Czechia']","['yeast', 'vanilla', 'cinnamon', 'milk', 'walnut', 'powdered_sugar', 'flour', 'cocoa_powder', 'sugar', 'salt', 'butter', 'egg']"
Acar,"['Brunei', 'Malaysia', 'Indonesia', 'Netherlands', 'Singapore', 'South Africa', 'Thailand']","['long_bean', 'cucumber', 'red_chili', 'garlic', 'turmeric', 'sugar', 'ginger', 'shallot', 'peanut', 'salt', 'cabbage', 'vinegar', 'bean', 'chili', 'carrot']"
Weckewerk,['Germany'],"['pork_belly', 'pickle', 'pork_liver', 'liver', 'onion', 'stale_bread', 'potato', 'salt', 'pork_head_meat', 'pepper', 'pork', 'bread', 'nutmeg', 'meat', 'marjoram', 'allspice']"
Tokwa't Baboy,['Philippines'],"['chili_pepper', 'scallion', 'vinegar', 'pork_belly', 'onion', 'garlic', 'sugar', 'salt', 'pork', 'pepper', 'soy_sauce', 'chili', 'tofu']"
Königsberger Klopse,"['Germany', 'Russia']","['bread_crumb', 'caper', 'beef_broth', 'lemon_juice', 'broth', 'beef', 'ground_beef', 'cream', 'flour', 'lemon', 'onion', 'heavy_cream', 'butter', 'bread', 'anchovy_paste', 'anchovy', 'egg']"
Bicerin,['Italy'],"['hot_chocolate', 'espresso', 'chocolate', 'milk', 'cream', 'whole_milk', 'sugar']"
Pan De Jamón,['Venezuela'],"['yeast', 'walnut', 'milk', 'brown_sugar', 'ham', 'flour', 'bacon', 'sugar', 'salt', 'butter', 'olive', 'raisin', 'egg']"
Negroni,['Italy'],"['orange_peel', 'orange_slice', 'bitter', 'sweet_vermouth', 'gin', 'orange']"
Palt,['Sweden'],"['wheat', 'barley_flour', 'flour', 'onion', 'potato', 'jam', 'salt', 'butter', 'barley', 'wheat_flour', 'pork', 'raw_potato', 'lingonberry_jam', 'egg']"
Bacalaíto,['Puerto Rico'],"['salted_codfish', 'annatto_oil', 'flour', 'onion', 'garlic', 'hot_sauce', 'adobo_seasoning', 'black_pepper', 'tomato_sauce', 'annatto', 'cilantro', 'bell_pepper', 'tomato', 'seasoning', 'water', 'beer', 'sofrito', 'oil_for_frying', 'pepper', 'baking_powder', 'oil']"
St. Galler Bratwurst,['Switzerland'],"['spice', 'milk', 'lemon', 'veal', 'salt', 'pork', 'lemon_zest']"
Empanada,"['Portugal', 'Spain']","['corn', 'cheese', 'pastry', 'other_ingredient', 'meat']"
Kholodets,"['Belarus', 'Russia', 'Ukraine']","['chicken', 'beef', 'water', 'pork_hock', 'pork_foot', 'onion', 'garlic', 'peppercorn', 'carrot', 'parsley', 'mustard', 'salt', 'beef_shank', 'pork', 'bay_leaf', 'horseradish', 'egg', 'black_peppercorn']"
Kupati,['Georgia'],"['chili_pepper', 'vinegar', 'black_pepper', 'fennel', 'coriander_seed', 'onion', 'garlic', 'salt', 'coriander', 'pork', 'pepper', 'paprika', 'fennel_seed', 'chili', 'beef', 'pig_intestine']"
Steak and Ale Pie,['United Kingdom'],"['puff_pastry', 'flour', 'mushroom', 'onion', 'garlic', 'butter', 'beef_stock', 'pastry', 'shortcrust_pastry', 'stock', 'ale', 'worcestershire_sauce', 'bay_leaf', 'carrot', 'egg', 'thyme', 'salt', 'pepper', 'beef']"
Pad Thai,['Thailand'],"['onion', 'garlic', 'shrimp', 'fish_sauce', 'tamarind', 'bean', 'tofu', 'fish', 'noodle', 'dried_shrimp', 'tamarind_paste', 'green_onion', 'rice', 'peanut', 'egg', 'rice_noodle', 'bean_sprout', 'shallot', 'lime']"
Grilled cheese,['United States'],"['bread', 'cheese']"
Honey Garlic Wings,['Canada'],"['chicken', 'honey', 'garlic', 'honey_garlic_sauce', 'chicken_wing']"
Bethmännchen,['Germany'],"['egg', 'vanilla', 'marzipan', 'powdered_sugar', 'rose_water', 'flour', 'almond', 'sugar', 'salt', 'vanilla_extract', 'water']"
Mikado Cake,['Armenia'],"['vanilla', 'condensed_milk', 'chocolate', 'milk', 'walnut', 'baking_soda', 'flour', 'cocoa_powder', 'honey', 'sugar', 'butter', 'vanilla_extract', 'egg']"
Túró Rudi,['Hungary'],"['vanilla', 'chocolate', 'lemon', 'chocolate_coating', 'sugar', 'cheese', 'lemon_zest', 'cottage_cheese']"
Gundel Pancake,['Hungary'],"['milk', 'flour', 'butter', 'lemon_zest', 'sugar', 'heavy_cream', 'whipped_cream', 'vanilla', 'chocolate', 'cinnamon', 'cream', 'raisin', 'egg', 'dark_chocolate', 'walnut', 'rum', 'powdered_sugar', 'lemon', 'salt', 'vanilla_extract']"
Cahuamanta,['Mexico'],"['chili_pepper', 'avocado', 'radish', 'oregano', 'onion', 'garlic', 'cilantro', 'tortilla', 'manta_ray', 'lime', 'salt', 'tomato', 'cabbage', 'shrimp', 'pepper', 'chili', 'carrot']"
Brioche,['France'],"['yeast', 'vanilla', 'orange_blossom_water', 'milk', 'water', 'flour', 'orange', 'sugar', 'salt', 'butter', 'egg']"
Pinapaitan,['Philippines'],"['radish', 'onion', 'garlic', 'green_chili', 'bile', 'chili', 'black_pepper', 'ginger', 'fish_sauce', 'vinegar', 'water', 'fish', 'beef_innard', 'lemon_juice', 'bitter', 'bitter_gourd', 'lemon', 'salt', 'pepper', 'beef']"
Burgoo,['United States'],"['onion', 'garlic', 'potato', 'butter', 'hot_sauce', 'green_bean', 'celery', 'mutton', 'bell_pepper', 'tomato', 'bean', 'worcestershire_sauce', 'okra', 'corn', 'lima_bean', 'bay_leaf', 'pork', 'carrot', 'meat', 'chicken', 'thyme', 'salt', 'pepper', 'beef']"
Aeropuerto,['Peru'],"['onion', 'garlic', 'shrimp', 'soy_sauce', 'vegetable', 'ginger', 'oyster', 'oyster_sauce', 'red_bell_pepper', 'noodle', 'green_onion', 'rice', 'pork', 'chinese_noodle', 'egg', 'chicken', 'vegetable_oil', 'sesame_oil', 'pepper', 'oil']"
Lekor,['Malaysia'],"['tapioca_flour', 'sago', 'fish', 'oil_for_frying', 'flour', 'sugar', 'salt', 'sago_flour', 'seasoning', 'oil', 'water']"
Broodje Bakkeljauw,['Suriname'],"['onion', 'garlic', 'fresh_parsley', 'soy_sauce', 'black_pepper', 'vegetable', 'sugar', 'bell_pepper', 'tomato', 'lime_juice', 'fish', 'lime', 'parsley', 'sandwich_roll', 'hot_pepper', 'vegetable_oil', 'salted_fish', 'thyme', 'pepper', 'oil']"
Metworst,['Netherlands'],"['black_pepper', 'sodium_nitrite', 'garlic', 'sugar', 'cardamom', 'salt', 'coriander', 'pork', 'pepper', 'nutmeg']"
Miyar Kuka,"['Niger', 'Nigeria']","['seasoning_cube', 'baobab_leaf_powder', 'onion', 'crayfish', 'goat', 'nut', 'vegetable', 'dawadawa', 'ground_nut', 'goat_meat', 'seasoning', 'water', 'ground_pepper', 'meat', 'vegetable_oil', 'ground_crayfish', 'salt', 'pepper', 'oil', 'beef']"
Nitsuke,['Japan'],"['mirin', 'sake', 'fish', 'broth', 'onion', 'sugar', 'ginger', 'green_onion', 'dashi', 'dashi_broth', 'soy_sauce', 'tofu']"
Berza Jerezana,['Spain'],"['collard_green', 'chorizo', 'chickpea', 'garlic', 'olive_oil', 'potato', 'fat', 'black_pudding', 'paprika', 'bread', 'pork', 'olive', 'pork_fat', 'oil']"
Shio-jiru,['Japan'],"['kombu', 'salt', 'water', 'seafood']"
Isi Ewu,['Nigeria'],"['seasoning_cube', 'onion', 'garlic', 'crayfish', 'palm_oil', 'cow_skin', 'chili', 'goat', 'chopped_fresh_ginger', 'scent_leaf', 'habanero_pepper', 'ginger', 'utazi_leaf', 'seasoning', 'potash', 'fish', 'stock', 'ogiri', 'stock_fish', 'goat_head', 'chili_pepper', 'cow', 'salt', 'pepper', 'oil']"
Korean Taco,['United States'],"['lettuce', 'radish', 'onion', 'garlic', 'tortilla', 'soy_sauce', 'mayonnaise', 'sesame_seed', 'sriracha', 'cilantro', 'sugar', 'cucumber', 'green_onion', 'gochujang', 'oil', 'carrot', 'kimchi', 'sesame_oil', 'lime', 'beef']"
Stargazy Pie,['United Kingdom'],"['shortcrust_pastry', 'wine', 'bacon', 'hard_boiled_egg', 'white_wine_vinegar', 'parsley', 'mustard', 'salt', 'pepper', 'vinegar', 'pastry', 'egg', 'sardine']"
Kok,['Greece'],"['vanilla', 'cinnamon', 'walnut', 'sesame_seed', 'water', 'flour', 'lemon', 'sugar', 'butter', 'lemon_zest', 'clove', 'egg']"
Dalgona,['South Korea'],"['baking_soda', 'sugar']"
Pie And Mash,['United Kingdom'],"['suet', 'milk', 'mashed_potato', 'water', 'flour', 'onion', 'beef_mince', 'potato', 'parsley', 'eel', 'butter', 'salt', 'pepper', 'beef']"
Pabellón Criollo,['Venezuela'],"['black_bean', 'plantain', 'onion', 'rice', 'pepper', 'bean', 'beef']"
Tom Kha Kai,['Thailand'],"['lemon_gras', 'milk', 'mushroom', 'coconut', 'garlic', 'chili', 'kaffir_lime_leaf', 'cilantro', 'sugar', 'bell_pepper', 'fish_sauce', 'tomato', 'lime_juice', 'cherry', 'cherry_tomato', 'fish', 'carrot', 'galangal', 'chicken', 'lemon', 'shallot', 'coconut_milk', 'basil', 'pepper', 'lime']"
Bagel Toast,['Israel'],"['tuna', 'mushroom', 'black_olive', 'hard_boiled_egg', 'onion', 'garlic', 'butter', 'zaatar', 'hot_sauce', 'pizza_sauce', 'sesame_bagel', 'bell_pepper', 'tomato', 'red_onion', 'cream', 'corn', 'olive', 'cheese', 'yellow_cheese', 'egg', 'cream_cheese', 'salty_white_cheese', 'green_olive', 'garlic_sauce', 'pepper']"
Matsoni,"['Armenia', 'Georgia', 'Azerbaijan']","['yogurt_starter', 'yogurt', 'milk']"
Tteok-galbi,"['North Korea', 'South Korea']","['wine', 'black_pepper', 'sesame_seed', 'pear', 'rice_wine', 'onion', 'garlic', 'beef_short_rib', 'sugar', 'green_onion', 'rice', 'ginger', 'sesame_oil', 'pepper', 'soy_sauce', 'oil', 'beef']"
Cuy,"['Peru', 'Colombia', 'Bolivia', 'Ecuador']","['wheat', 'achiote', 'flour', 'oregano', 'onion', 'garlic', 'salt', 'cumin', 'wheat_flour', 'oil', 'pepper', 'lime', 'guinea_pig']"
Açaí Na Tigela,['Brazil'],"['nut', 'berry', 'coconut', 'guarana_syrup', 'honey', 'granola', 'strawberry', 'coconut_flake', 'acai_berry', 'banana', 'syrup', 'banana_slice']"
Capuns,['Switzerland'],"['wine', 'milk', 'nutmeg', 'cheese', 'cream', 'flour', 'sausage', 'onion', 'garlic', 'salt', 'butter', 'dried_meat', 'pepper', 'herb', 'meat', 'egg', 'chard_leaf']"
Ceviche,['Peru'],"['fish', 'red_onion', 'lettuce', 'raw_fish', 'garlic', 'onion', 'cilantro', 'sweet_potato', 'potato', 'corn', 'lime', 'salt', 'pepper', 'chili_pepper', 'lime_juice', 'chili']"
Ginataang Labong,['Philippines'],"['chili_pepper', 'fish', 'bamboo_shoot', 'milk', 'coconut', 'garlic', 'onion', 'ginger', 'fish_sauce', 'salt', 'coconut_milk', 'shrimp', 'pepper', 'chili']"
Koose,"['Saint Helena, Ascension and Tristan da Cunha', 'Gambia', 'Brazil', 'Nigeria', 'Cape Verde', 'Sierra Leone', 'Benin', 'Ghana', 'Niger', 'Guinea', 'Guinea-Bissau', 'Mali', 'Senegal', 'Burkina Faso', 'Togo', 'Ivory Coast', 'Mauritania', 'Cuba', 'Liberia']","['seasoning_cube', 'oil_for_frying', 'red_pepper', 'pea', 'onion', 'garlic', 'habanero_pepper', 'ginger', 'salt', 'pepper', 'black_eyed_pea', 'baking_powder', 'seasoning', 'oil', 'water']"
Agnolini,['Italy'],"['bread_crumb', 'spinach', 'broth', 'nutmeg', 'cheese', 'vegetable', 'flour', 'lemon', 'salt', 'butter', 'pepper', 'bread', 'lemon_zest', 'meat', 'ground_meat', 'parmesan_cheese', 'egg', 'vegetable_broth']"
Oshikundu,['Namibia'],"['sorghum', 'flour', 'mahangu_flour', 'millet', 'sorghum_flour']"
Stuffat Tal-Fenek,['Malta'],"['wine', 'fresh_herb_like_rosemary', 'pea', 'garlic', 'onion', 'potato', 'rosemary', 'lemon_zest', 'tomato', 'stock', 'red_wine', 'chicken_stock', 'bacon', 'tomato_paste', 'bay_leaf', 'olive', 'herb', 'carrot', 'chicken', 'rabbit', 'lemon', 'olive_oil', 'thyme', 'salt', 'pepper', 'oil']"
Bistek,['Philippines'],"['vinegar', 'black_pepper', 'cooking_oil', 'calamansi_juice', 'water', 'onion', 'garlic', 'calamansi', 'butter', 'pepper', 'soy_sauce', 'oil', 'beef']"
Andong Jjimdak,"['North Korea', 'South Korea']","['glas_noodle', 'spinach', 'brown_sugar', 'mushroom', 'garlic', 'onion', 'rice_cake', 'potato', 'soy_sauce', 'chili', 'scallion', 'black_pepper', 'sesame_seed', 'sugar', 'ginger', 'dried_red_chili_pepper', 'noodle', 'rice', 'carrot', 'chicken', 'sesame_oil', 'green_pepper', 'pepper', 'oil']"
Kottu,['Sri Lanka'],"['green_chili', 'onion', 'garlic', 'pandan_leaf', 'soy_sauce', 'chili', 'vegetable', 'mutton', 'ginger', 'tomato', 'seafood', 'curry_leaf', 'chili_powder', 'leek', 'godhamba_roti', 'carrot', 'meat', 'egg', 'lime_wedge', 'chicken', 'curry_powder', 'salt', 'pepper', 'lime', 'beef']"
Papelón Con Limón,['Venezuela'],"['lime', 'mint', 'sugar', 'panela', 'ice', 'water']"
Cocada Amarela,['Angola'],"['coconut', 'butter', 'lemon_zest', 'sugar', 'almond', 'nutmeg', 'water', 'vanilla', 'cinnamon', 'egg_yolk', 'cinnamon_stick', 'raisin', 'clove', 'egg', 'lemon', 'salt', 'vanilla_extract', 'lime', 'lime_zest']"
Romazava,['Madagascar'],"['green_bean', 'watercres', 'spinach', 'onion', 'garlic', 'brede_mafana', 'zebu_meat', 'ginger', 'salt', 'tomato', 'pepper', 'bean', 'carrot', 'meat']"
Pagliata,['Italy'],"['pecorino_cheese', 'wine', 'red_wine', 'veal_intestine', 'tomato_sauce', 'garlic', 'onion', 'olive_oil', 'veal', 'parsley', 'salt', 'tomato', 'pepper', 'olive', 'cheese', 'chili', 'oil']"
Bopis,['Philippines'],"['annatto_oil', 'pea', 'onion', 'garlic', 'pepper', 'pork_heart', 'pork_lung', 'green_pea', 'soy_sauce', 'chili', 'black_pepper', 'annatto', 'ginger', 'fish_sauce', 'tomato', 'vinegar', 'heart', 'red_bell_pepper', 'fish', 'pork', 'bay_leaf', 'carrot', 'chili_pepper', 'salt', 'liver', 'oil']"
Hawaiian Pizza,['Canada'],"['mozzarella_cheese', 'tomato_sauce', 'ham', 'pizza_dough', 'bacon', 'tomato', 'mozzarella', 'cheese', 'pineapple']"
Klepon,['Indonesia'],"['glutinou_rice_flour', 'flour', 'coconut', 'pandan_leaf', 'sugar', 'rice', 'palm_sugar']"
Banmian,"['Malaysia', 'Singapore', 'China', 'Taiwan']","['flour', 'mushroom', 'garlic', 'shrimp', 'wheat_flour_noodle', 'soy_sauce', 'chili', 'vegetable', 'fried_shallot', 'fried_anchovy', 'noodle', 'stock', 'wheat', 'dried_shrimp', 'chicken_stock', 'leafy_vegetable', 'ground_pepper', 'pork', 'egg', 'chicken', 'shallot', 'sliced_pork', 'pepper', 'anchovy']"
Cocido Lebaniego,['Spain'],"['blood', 'chorizo', 'chickpea', 'ham', 'sausage', 'pork_rib', 'potato', 'black_pudding', 'cabbage', 'blood_sausage', 'pork', 'carrot']"
Dongchimi,"['North Korea', 'South Korea']","['chili_pepper', 'asian_pear', 'pear', 'radish', 'onion', 'garlic', 'sugar', 'green_onion', 'ginger', 'mustard', 'salt', 'pepper', 'mustard_leaf', 'mu', 'chili', 'water']"
Balbacua,['Philippines'],"['vinegar', 'black_pepper', 'toasted_rice', 'annatto', 'annatto_seed', 'leek', 'onion', 'garlic', 'rice', 'star_anise', 'ginger', 'peanut', 'salt', 'tendon', 'pepper', 'soy_sauce', 'beef', 'bay_leaf']"
Salchipapa,"['Brazil', 'French Guiana', 'Uruguay', 'Guyana', 'Peru', 'Colombia', 'Falkland Islands', 'Chile', 'Suriname', 'Aruba', 'Bolivia', 'Curaçao', 'Paraguay', 'Ecuador', 'Venezuela', 'Argentina', 'Trinidad and Tobago']","['avocado', 'egg', 'lettuce', 'french_fry', 'sausage', 'mustard', 'tomato', 'ketchup', 'cheese', 'boiled_egg', 'hot_dog', 'mayonnaise']"
Gratin Dauphinois,['France'],"['bread_crumb', 'milk', 'nutmeg', 'cream', 'garlic', 'potato', 'salt', 'butter', 'pepper', 'bread', 'cheese']"
Sayadiya,"['Jordan', 'Palestine', 'Syria', 'Israel', 'Lebanon', 'Egypt']","['fish', 'lemon_juice', 'nut', 'vegetable', 'vegetable_oil', 'lemon', 'onion', 'pine_nut', 'garlic', 'turmeric', 'rice', 'salt', 'cumin', 'pepper', 'raisin', 'oil', 'water']"
Mantecol,['Argentina'],"['soy_lecithin', 'vanilla', 'glucose_syrup', 'milk', 'vegetable', 'semolina', 'vegetable_oil', 'sugar', 'cocoa_butter', 'milk_powder', 'peanut', 'butter', 'salt', 'vanilla_extract', 'syrup', 'oil']"
Aburasoba,['Japan'],"['onion', 'garlic', 'soy_sauce', 'chili', 'bamboo_shoot', 'ginger', 'ground_pork', 'rice_vinegar', 'vinegar', 'poached_egg', 'bean', 'noodle', 'rice', 'green_onion', 'pork', 'egg', 'nori', 'bonito_flake', 'chili_oil', 'bean_sprout', 'sesame_oil', 'pickled_ginger', 'oil']"
Es Kelapa Muda,['Indonesia'],"['young_coconut_flesh', 'young_coconut_water', 'ice_cube', 'coconut', 'lime', 'pandan_leaf', 'sugar', 'sugar_syrup', 'syrup', 'lime_juice', 'ice', 'water']"
Tapado,"['Belize', 'Guatemala', 'Honduras']","['milk', 'plantain', 'coconut', 'onion', 'garlic', 'potato', 'shrimp', 'chili', 'cilantro', 'bell_pepper', 'tomato', 'yucca', 'lime_juice', 'fish', 'crab', 'salt', 'coconut_milk', 'pepper', 'lime']"
Lotus Seed Bun,['China'],"['yeast', 'milk', 'water', 'flour', 'sugar', 'lotu_seed_paste', 'salt', 'butter', 'baking_powder', 'oil', 'egg']"
Insalata di arance,['Italy'],"['caper', 'red_onion', 'black_pepper', 'lemon_juice', 'fennel', 'arugula', 'lemon', 'onion', 'black_olive', 'olive_oil', 'parsley', 'salt', 'pepper', 'olive', 'oil', 'orange']"
Mitmita,['Ethiopia'],"['black_pepper', 'cinnamon', 'black_cumin', 'cardamom', 'bird_eye_chili_pepper', 'ginger', 'salt', 'cumin', 'pepper', 'clove', 'chili']"
Revuelto Gramajo,"['Uruguay', 'Argentina']","['black_pepper', 'ham', 'pea', 'onion', 'olive_oil', 'potato', 'parsley', 'salt', 'oil', 'pepper', 'olive', 'red_bell_pepper', 'green_bell_pepper', 'egg']"
Nasi Pecel,['Indonesia'],"['spinach', 'tofu', 'long_bean', 'peanut_sauce', 'fried_onion', 'onion', 'water_spinach', 'basil_leaf', 'cracker', 'rice', 'bean_sprout', 'peanut', 'cabbage', 'basil', 'bean', 'tempeh', 'water']"
London Fog,['Canada'],"['vanilla', 'vanilla_syrup', 'milk', 'steamed_milk', 'sugar', 'syrup', 'earl_grey_tea']"
Vitello Tonnato,['Italy'],"['tuna', 'white_wine', 'wine', 'garlic', 'onion', 'mayonnaise', 'celery', 'pickle', 'vinegar', 'lemon_juice', 'egg_yolk', 'veal', 'parsley', 'white_wine_vinegar', 'olive', 'egg', 'carrot', 'caper', 'lemon', 'olive_oil', 'anchovy', 'oil']"
"Peanut Butter, Banana And Bacon Sandwich",['United States'],"['cinnamon', 'bacon', 'honey', 'peanut', 'banana', 'peanut_butter', 'butter', 'bread']"
Jiggs Dinner,['Canada'],"['turnip', 'dressing', 'salt_meat', 'potato', 'salt', 'cabbage', 'mashed_turnip', 'carrot', 'meat']"
Kare-kare,['Philippines'],"['banana_heart', 'tripe', 'peanut', 'banana', 'peanut_butter', 'butter', 'oxtail', 'heart', 'string_bean', 'bean', 'eggplant']"
Okoy,['Philippines'],"['glutinou_rice_batter', 'unshelled_small_shrimp', 'vegetable', 'rice', 'shrimp', 'variou_vegetable']"
Fasnacht,['Germany'],"['yeast', 'vanilla', 'cinnamon', 'milk', 'nutmeg', 'powdered_sugar', 'flour', 'lemon', 'sugar', 'salt', 'butter', 'vanilla_extract', 'lemon_zest', 'egg']"
Fernet Con Coca,['Argentina'],"['lemon_wedge', 'lemon', 'cola', 'fernet', 'ice']"
Crumble,['United Kingdom'],"['spice', 'nut', 'flour', 'fruit', 'sugar', 'butter', 'oat']"
Navarin,['France'],"['turnip', 'white_wine', 'wine', 'beef_broth', 'shoulder_of_lamb', 'broth', 'beef', 'garlic', 'onion', 'tomato_paste', 'lamb', 'thyme', 'parsley', 'tomato', 'bay_leaf', 'carrot']"
Kartoffelklösse,['Germany'],"['ham', 'flour', 'sauerkraut', 'potato', 'bread_crouton', 'salt', 'bread', 'nutmeg', 'egg']"
Waterblommetjiebredie,['South Africa'],"['water', 'onion', 'lamb', 'garlic', 'mutton', 'potato', 'salt', 'butter', 'pepper', 'bay_leaf', 'waterblommetjy', 'carrot']"
Coffee Crisp,['Canada'],"['cocoa_mas', 'milk', 'coffee', 'milk_ingredient', 'vegetable_oil', 'wheat', 'vegetable', 'flour', 'sugar', 'cocoa_butter', 'butter', 'wheat_flour', 'oil']"
Cheese Dream,['United States'],"['bacon', 'tomato', 'butter', 'bread', 'cheese', 'tomato_slice']"
Cucumber Sandwich,['United Kingdom'],"['cream_cheese', 'dill', 'cream', 'cucumber', 'white_bread', 'salt', 'butter', 'pepper', 'bread', 'cheese']"
Toronto,['Canada'],"['orange_twist', 'syrup', 'bitter', 'rye_whisky', 'simple_syrup', 'fernet_branca', 'angostura_bitter', 'orange']"
Suaasat,['Greenland'],"['onion', 'rice', 'potato', 'carrot', 'barley', 'seal_meat', 'water', 'meat']"
Cheese And Pickle Sandwich,['United Kingdom'],"['lettuce', 'pickle', 'tomato', 'butter', 'bread', 'cheese']"
Donkey Burger,['China'],"['pickled_vegetable', 'bun', 'wheat', 'vegetable', 'vegetable_oil', 'flour', 'chopped_green_onion', 'chili_sauce', 'onion', 'garlic', 'cilantro', 'donkey_meat', 'wheat_flour_bun', 'soybean_paste', 'salt', 'oil', 'chili', 'meat']"
Idiyappam,"['Malaysia', 'Sri Lanka', 'Singapore', 'India']","['flour', 'coconut', 'sugar', 'rice', 'salt', 'grated_coconut', 'rice_flour', 'oil', 'water', 'ghee']"
