dish_name,countries_of_origin,ingredients
Pörkölt,['Hungary'],"['onion', 'water', 'beef', 'stewing_beef', 'paprika']"
Kopanisti,['Greece'],"['lemon', 'oil', 'lemon_zest', 'garlic', 'oregano', 'olive_oil', 'red_wine_vinegar', 'wine', 'vinegar', 'walnut', 'parsley', 'thyme', 'basil', 'cheese', 'olive', 'blue_cheese', 'pepper', 'feta_cheese', 'black_pepper', 'red_pepper_flake', 'lemon_juice', 'paprika']"
Fesenjān,['Iran'],"['walnut', 'pepper', 'onion', 'oil', 'water', 'pomegranate_molass', 'molass', 'ground_walnut', 'salt', 'chicken']"
Tas Kebab,['Turkey'],"['parsley', 'pepper', 'oil', 'onion', 'black_pepper', 'green_pepper', 'sumac', 'garlic', 'olive', 'red_pepper_flake', 'beef', 'olive_oil', 'tomato', 'salt', 'lamb']"
Ful Medames,['Egypt'],"['lemon', 'fava_bean', 'parsley', 'oil', 'garlic', 'olive', 'cumin', 'lemon_juice', 'bean', 'olive_oil', 'salt']"
Beschuit met muisjes,['Netherlands'],"['food_coloring', 'sugar', 'anise_seed', 'rusk', 'butter']"
Gheimeh,['Iran'],"['eggplant', 'potato', 'pepper', 'lime', 'dried_lime', 'pea', 'oil', 'turmeric', 'onion', 'water', 'garlic', 'cinnamon', 'saffron', 'tomato_paste', 'tomato', 'yellow_split_pea', 'salt', 'lamb']"
Gelato,['Italy'],"['cream', 'sugar', 'egg', 'egg_yolk', 'flavoring', 'milk']"
Pizza de cancha,['Argentina'],"['bell_pepper', 'pepper', 'oil', 'tomato', 'tomato_sauce', 'onion', 'water', 'black_pepper', 'olive', 'cheese', 'oregano', 'yeast', 'mozzarella_cheese', 'olive_oil', 'flour', 'ham', 'anchovy', 'salt']"
Huevos Rancheros,['Mexico'],"['cream', 'salsa', 'lime', 'tortilla', 'egg', 'onion', 'bean', 'black_bean', 'jalapeno', 'garlic', 'cheese', 'avocado', 'tomato', 'cilantro', 'sour_cream']"
Stromboli,['United States'],"['marinara_sauce', 'pizza_dough', 'italian_sausage', 'pepperoni', 'cheese', 'variou_filling', 'mozzarella_cheese', 'sausage']"
Bear Claw,['United States'],"['vanilla', 'egg', 'sugar', 'water', 'powdered_sugar', 'brown_sugar', 'cinnamon', 'almond_paste', 'almond', 'yeast', 'butter', 'flour', 'vanilla_extract', 'milk']"
Debrecener,['Hungary'],"['mustard', 'pepper', 'caraway_seed', 'mustard_seed', 'sugar', 'water', 'black_pepper', 'allspice', 'marjoram', 'garlic', 'pork', 'chili_flake', 'beef', 'nutmeg', 'casing', 'chili', 'salt', 'paprika']"
Wiener Schnitzel,"['Austria', 'Germany']","['lemon', 'pepper', 'vegetable_oil', 'egg', 'oil', 'flour', 'salt', 'bread', 'veal', 'bread_crumb', 'vegetable']"
Knickerbocker,['Philippines'],"['watermelon', 'cream', 'condensed_milk', 'ice', 'apple', 'gelatin', 'sugar', 'evaporated_milk', 'fruit', 'ice_cream', 'mango', 'pineapple', 'banana', 'sweetened_fruit', 'milk']"
Tamale Pie,['United States'],"['egg', 'black_olive', 'chili_powder', 'garlic', 'beef', 'tomato', 'salt', 'cilantro', 'corn', 'green_chile', 'milk', 'bell_pepper', 'cheese', 'olive', 'ground_beef', 'cheddar_cheese', 'baking_powder', 'cornmeal', 'pepper', 'onion', 'cumin', 'chili', 'jalapeno']"
Sachertorte,['Austria'],"['cream', 'dark_chocolate', 'vanilla', 'sugar', 'egg', 'jam', 'chocolate', 'apricot_jam', 'butter', 'whipped_cream', 'flour', 'vanilla_extract', 'salt', 'baking_powder']"
Banku,['Ghana'],"['cassava', 'fermented_corn_dough', 'water', 'corn', 'cassava_flour', 'cassava_dough', 'flour', 'salt', 'corn_flour']"
White Christmas,['Australia'],"['dried_fruit', 'cherry', 'desiccated_coconut', 'fruit', 'rice_bubble', 'glace_cherry', 'mixed_peel', 'chocolate', 'coconut', 'almond', 'sultana', 'rice', 'white_chocolate', 'raisin', 'peanut']"
Spekkoek,['Indonesia'],"['sugar', 'egg', 'aniseed', 'clove', 'ground_nutmeg', 'ground_ginger', 'ground_clove', 'ground_cinnamon', 'cinnamon', 'ground_aniseed', 'butter', 'ground_cardamom', 'vanilla', 'cocoa_powder', 'nutmeg', 'flour', 'vanilla_extract', 'ginger', 'cardamom']"
Bibimbap,['South Korea'],"['spinach', 'bean_sprout', 'oil', 'egg', 'shiitake_mushroom', 'sesame_oil', 'gochujang', 'carrot', 'seaweed', 'tofu', 'cucumber', 'zucchini', 'mushroom', 'beef', 'rice', 'fernbrake', 'bean', 'radish']"
Poutine Râpée,['Canada'],"['potato', 'pepper', 'onion', 'bacon', 'pork', 'flour', 'salt']"
Gringas,['Mexico'],"['salsa', 'pork_meat', 'tortilla', 'onion', 'meat', 'pineapple', 'cheese', 'pork', 'avocado', 'cilantro']"
Cobb Salad,['United States'],"['lettuce', 'egg', 'black_olive', 'avocado', 'chive', 'romaine_lettuce', 'tomato', 'corn', 'bacon', 'wine', 'cheese', 'olive', 'hard_boiled_egg', 'chicken_breast', 'blue_cheese', 'pepper', 'roasted_red_pepper', 'crouton', 'red_wine_vinaigrette', 'chicken']"
Nikujaga,['Japan'],"['mirin', 'potato', 'sugar', 'onion', 'carrot', 'soy_sauce', 'beef']"
Patriotic Soup,['China'],"['potato', 'spinach', 'edible_mushroom', 'starch', 'edible_leaf_vegetable', 'stock', 'oil', 'sesame_oil', 'broth', 'salt', 'pork', 'mushroom', 'beef', 'vegetable', 'chicken']"
Boquerones En Vinagre,['Spain'],"['lemon', 'parsley', 'pepper', 'oil', 'garlic', 'olive', 'olive_oil', 'vinegar', 'fresh_anchovy', 'anchovy', 'salt']"
Thingyan Rice,['Myanmar'],"['chickpea', 'oil', 'garlic', 'fresh_coriander_leaf', 'salt', 'split_chickpea', 'mustard_seed', 'milk', 'peanut', 'coconut_milk', 'rice', 'mustard', 'turmeric', 'onion', 'peanut_oil', 'water', 'coriander', 'roasted_peanut', 'ginger', 'coconut', 'fried_onion']"
Angel Delight,['United Kingdom'],"['cream', 'starch', 'vegetable_oil', 'gelatin', 'sugar', 'oil', 'coloring', 'fruit', 'sprinkle', 'modified_starch', 'whipped_cream', 'flavoring', 'vegetable', 'milk', 'skimmed_milk_powder']"
Boxty,['Ireland'],"['potato', 'sugar', 'oil', 'egg', 'onion', 'milk', 'butter', 'flour', 'salt', 'baking_powder']"
Mak-guksu,"['North Korea', 'South Korea']","['mustard', 'kimchi', 'sugar', 'egg', 'gochujang', 'korean_pear', 'noodle', 'seaweed', 'garlic', 'cucumber', 'soy_sauce', 'perilla_leaf', 'beef', 'buckwheat_noodle', 'vinegar', 'sesame_seed', 'pear', 'radish']"
All-dressed Chips,['Canada'],"['sugar', 'tomato_powder', 'onion_powder', 'oil', 'garlic', 'tomato', 'salt', 'artificial_flavor', 'bacon', 'cheddar_cheese_powder', 'vinegar', 'barbecue_spice', 'ranch_seasoning', 'cream', 'vegetable_oil', 'spice', 'cheese', 'garlic_powder', 'vinegar_powder', 'potato', 'pepper', 'onion', 'sour_cream_powder', 'green_bell_pepper_powder', 'bacon_flavor', 'vegetable', 'paprika']"
Nasi Liwet,['Indonesia'],"['lemon', 'egg', 'boiled_egg', 'garlic', 'fried_tofu', 'tempeh', 'tofu', 'anchovy', 'milk', 'coconut_milk', 'rice', 'shallot', 'bay_leaf', 'cooked_chicken', 'lemon_gras', 'pepper', 'galangal', 'chili_pepper', 'coconut', 'fried_tempeh', 'chili', 'chicken']"
Mousse,['France'],"['cream', 'vanilla', 'sugar', 'egg', 'chocolate', 'vanilla_extract']"
Egg Roll,['United States'],"['green_onion', 'ground_pork', 'vegetable_oil', 'pepper', 'oil', 'shrimp', 'egg', 'sesame_oil', 'onion', 'carrot', 'cabbage', 'garlic', 'vegetable', 'soy_sauce', 'pork', 'ginger', 'egg_roll_wrapper', 'salt']"
Pastil,['Philippines'],"['egg', 'oil', 'garlic', 'beef', 'banana', 'chili_flake', 'fish', 'vegetable_oil', 'ground_chicken', 'soy_sauce', 'rice', 'hard_boiled_egg', 'pepper', 'onion', 'black_pepper', 'banana_leaf', 'chili', 'vegetable', 'chicken']"
Punschkrapfen,['Austria'],"['lemon', 'sugar', 'egg', 'marzipan', 'pink_glaze', 'sponge_cake', 'candied_fruit', 'butter', 'jam', 'milk', 'cream', 'vanilla', 'rum', 'flour', 'raisin', 'nougat', 'fruit', 'chocolate', 'sponge_finger', 'apricot_jam', 'lemon_juice', 'nut']"
Singapore Sling,['Singapore'],"['cherry', 'gin', 'lime', 'pineapple_juice', 'water', 'benedictine', 'lime_juice', 'pineapple', 'angostura_bitter', 'cointreau', 'soda_water', 'cherry_brandy', 'brandy', 'grenadine']"
Neenish Tart,"['New Zealand', 'Australia']","['lemon', 'food_coloring', 'gelatin', 'sugar', 'vanilla', 'cocoa_powder', 'desiccated_coconut', 'pastry_shell', 'water', 'sweetened_condensed_milk', 'milk', 'icing_sugar', 'coconut', 'lemon_juice', 'butter', 'vanilla_extract', 'icing_sugar_mixture']"
Breakfast Burrito,['United States'],"['hot_sauce', 'bell_pepper', 'hash_brown', 'salsa', 'potato', 'pepper', 'tortilla', 'egg', 'onion', 'cheese', 'bacon', 'avocado', 'ham', 'sausage', 'cooked_potato']"
Barmbrack,['Ireland'],"['whiskey', 'sugar', 'egg', 'fruit', 'warm_milk', 'baking_soda', 'cinnamon', 'mixed_dried_fruit', 'nutmeg', 'dark_tea', 'butter', 'yeast', 'flour', 'salt', 'milk']"
Germknödel,"['Austria', 'Germany']","['vanilla_sauce', 'butter', 'vanilla', 'sugar', 'egg', 'poppy_seed', 'powdered_sugar', 'jam', 'cinnamon', 'plum_jam', 'yeast', 'flour', 'salt', 'milk']"
Linsen Mit Spätzle,['Germany'],"['egg', 'garlic', 'salt', 'sausage', 'spatzle', 'bacon', 'white_vinegar', 'butter', 'vinegar', 'milk', 'parsley', 'carrot', 'lentil', 'nutmeg', 'bay_leaf', 'flour', 'celery', 'mustard', 'pepper', 'onion', 'water', 'broth', 'vegetable']"
Bánh Chưng,['Vietnam'],"['glutinou_rice', 'pepper', 'onion', 'mung_bean', 'black_pepper', 'banana', 'pork', 'rice', 'banana_leaf', 'fish', 'bean', 'salt', 'fish_sauce']"
Pampushka,['Ukraine'],"['parsley', 'vegetable_oil', 'sugar', 'oil', 'butter', 'water', 'garlic', 'vegetable', 'dill', 'yeast', 'flour', 'salt']"
Minestra di Pane,['Italy'],"['cannellini_bean', 'oil', 'garlic', 'bread', 'olive_oil', 'pancetta', 'tomato', 'salt', 'rosemary', 'bean', 'thyme', 'carrot', 'olive', 'cheese', 'bay_leaf', 'vegetable_broth', 'potato', 'celery', 'pepper', 'stale_bread', 'onion', 'broth', 'black_pepper', 'parmesan_cheese', 'cabbage', 'vegetable']"
Egg Foo Young,"['United States', 'China']","['cooking_oil', 'pepper', 'oil', 'egg', 'onion', 'shrimp', 'meat', 'vegetable', 'soy_sauce', 'pork', 'mushroom', 'bean', 'salt', 'chicken']"
Montreal-style Smoked Meat,['Canada'],"['mustard', 'juniper_berry', 'beef_brisket', 'kosher_salt', 'mustard_seed', 'sugar', 'pepper', 'coriander', 'coriander_seed', 'garlic', 'beef', 'bay_leaf', 'coarse_black_pepper', 'salt', 'paprika']"
Rocky Road,['Australia'],"['dried_fruit', 'desiccated_coconut', 'jelly_candy', 'fruit', 'marshmallow', 'chocolate', 'coconut', 'biscuit', 'nut']"
Gamja-jeon,"['North Korea', 'South Korea']","['potato', 'green_onion', 'vegetable_oil', 'oil', 'onion', 'salt', 'garlic', 'soy_sauce', 'vegetable']"
Chaku,"['India', 'Nepal']","['dried_milk', 'molass', 'nutmeg', 'butter', 'clove', 'clarified_butter', 'cardamom', 'milk']"
Guasanas,['Mexico'],"['lime', 'chickpea', 'fresh_green_chickpea', 'chili_powder', 'lime_juice', 'water', 'garlic', 'chili', 'salt']"
Badambura,['Azerbaijan'],"['walnut', 'pistachio', 'sugar', 'egg', 'vanilla', 'powdered_sugar', 'salt', 'almond', 'yeast', 'butter', 'hazelnut', 'flour', 'cardamom', 'raisin', 'milk']"
Suadero,['Mexico'],"['salsa', 'beef_brisket', 'lime', 'pepper', 'tortilla', 'onion', 'pinto_bean', 'bean', 'garlic', 'beef', 'bay_leaf', 'lard', 'salt', 'cilantro']"
Bicol Express,['Philippines'],"['coconut_milk', 'shrimp', 'onion', 'bird_eye_chili', 'garlic', 'pork', 'coconut', 'shrimp_paste', 'chili', 'milk']"
Fish Pie,['United Kingdom'],"['lemon', 'potato', 'parsley', 'pea', 'egg', 'onion', 'carrot', 'cheese', 'cheddar_cheese', 'butter', 'fish', 'flour', 'milk']"
Kimchi Fried Rice,"['North Korea', 'South Korea']","['oil', 'egg', 'garlic', 'vegetable_like_pea', 'cooked_rice', 'pea', 'spam', 'bacon', 'green_onion', 'vegetable_oil', 'sesame_oil', 'gochujang', 'carrot', 'cheese', 'soy_sauce', 'nori', 'rice', 'sesame_seed', 'kimchi', 'onion', 'vegetable', 'kimchi_juice']"
Cumberland Sausage,['United Kingdom'],"['sage', 'pepper', 'water', 'black_pepper', 'thyme', 'pork', 'white_pepper', 'nutmeg', 'bread', 'bread_rusk', 'salt']"
Leberkäse,"['Austria', 'Switzerland', 'Germany']","['pepper', 'onion', 'coriander', 'bacon', 'pork', 'nutmeg', 'beef', 'cardamom', 'salt', 'marjoram']"
Bánh Tét,['Vietnam'],"['coconut_milk', 'sticky_rice', 'pork_belly', 'mung_bean', 'garlic', 'pork', 'coconut', 'rice', 'shallot', 'bean', 'milk']"
Christmas Carp,"['Austria', 'Poland', 'Slovakia', 'Czechia', 'Germany']","['lemon', 'garlic', 'carp', 'mushroom', 'bread', 'clove', 'salt', 'white_wine', 'dill', 'wine', 'butter', 'vinegar', 'cream', 'parsley', 'allspice', 'carrot', 'nutmeg', 'almond', 'bay_leaf', 'flour', 'raisin', 'sour_cream', 'celery', 'potato', 'pepper', 'onion', 'bread_crumb']"
Fish And Brewis,['Canada'],"['potato', 'onion', 'scrunchion', 'hard_bread', 'pork', 'bread', 'salted_cod', 'salt']"
Carciofi Alla Romana,['Italy'],"['artichoke', 'lemon', 'parsley', 'mint', 'oil', 'garlic', 'olive', 'olive_oil']"
Sarma,"['Greece', 'Bulgaria', 'Moldova', 'Romania', 'Azerbaijan', 'Iraq', 'Serbia', 'Croatia', 'Iran', 'Cyprus', 'Turkey']","['lemon', 'parsley', 'pepper', 'mint', 'tomato', 'onion', 'grape_leaf', 'black_pepper', 'cabbage', 'garlic', 'ground_beef', 'lemon_juice', 'beef', 'rice', 'tomato_paste', 'dried_mint', 'salt', 'paprika']"
Jatjuk,"['North Korea', 'South Korea']","['sugar', 'water', 'honey', 'salt', 'chestnut', 'rice', 'pine_nut', 'sesame_seed', 'nut']"
Aushak,['Afghanistan'],"['ground_coriander', 'yogurt', 'pepper', 'chickpea', 'mint', 'onion', 'coriander', 'water', 'meat', 'flour', 'garlic', 'ground_meat', 'butter', 'cayenne_pepper', 'leek', 'dried_mint', 'salt', 'paprika']"
Cachopo,['Spain'],"['lemon', 'parsley', 'pepper', 'oil', 'egg', 'asparagu', 'red_pepper', 'cheese', 'garlic', 'olive', 'lemon_juice', 'mushroom', 'bread', 'olive_oil', 'veal', 'bread_crumb', 'ham', 'salt']"
Pique Macho,['Bolivia'],"['egg', 'garlic', 'beef', 'tomato', 'pea', 'hot_dog', 'mayonnaise', 'vinegar', 'parsley', 'beer', 'olive', 'soy_sauce', 'hard_boiled_egg', 'green_pepper', 'mustard', 'pepper', 'onion', 'french_fry', 'chili_pepper', 'cumin', 'chili']"
Trancapecho Sandwich,['Bolivia'],"['mustard', 'lettuce', 'pepper', 'fried_egg', 'egg', 'white_rice', 'onion', 'ketchup', 'beef_steak', 'french_fry', 'beef', 'rice', 'bread', 'white_bread', 'mayonnaise', 'tomato', 'locoto_pepper']"
Nameko soba,['Japan'],"['mirin', 'shichimi_togarashi', 'green_onion', 'soba_noodle', 'onion', 'broth', 'dashi_broth', 'noodle', 'dashi', 'soy_sauce', 'wakame', 'mushroom', 'kamaboko', 'daikon', 'grated_daikon', 'nameko_mushroom']"
Minestra maritata,['Italy'],"['spinach', 'lettuce', 'sausage', 'broth', 'chicken_broth', 'meat', 'cabbage', 'green_vegetable', 'vegetable', 'chicken', 'kale']"
Mince On Toast,"['Australia', 'New Zealand', 'United Kingdom']","['garlic', 'mushroom', 'beef', 'tomato', 'salt', 'herb', 'pea', 'tomato_paste', 'butter', 'milk', 'worcestershire_sauce', 'carrot', 'cheese', 'ground_beef', 'flour', 'stock', 'pepper', 'onion', 'beef_stock', 'toast']"
Esqueixada,['Spain'],"['bell_pepper', 'parsley', 'pepper', 'egg', 'oil', 'black_olive', 'onion', 'black_pepper', 'wine', 'vinegar', 'olive', 'red_wine_vinegar', 'hard_boiled_egg', 'tomato', 'olive_oil', 'salt', 'salt_cod']"
Buljol,['Trinidad and Tobago'],"['pepper', 'lime', 'fresh_herb', 'oil', 'onion', 'lime_juice', 'sweet_pepper', 'cabbage', 'olive', 'cucumber', 'hot_pepper', 'avocado', 'olive_oil', 'salted_cod', 'tomato', 'herb']"
Cacio E Pepe,['Italy'],"['pasta_water', 'pepper', 'oil', 'water', 'black_pepper', 'cheese', 'olive', 'pasta', 'pecorino_romano_cheese', 'butter', 'olive_oil']"
Apple Pie,"['United Kingdom', 'United States']","['lemon', 'apple', 'sugar', 'cinnamon', 'lemon_juice', 'nutmeg', 'butter', 'flour']"
Chori Burger,['Philippines'],"['lettuce', 'ground_pork', 'bun', 'oil', 'garlic', 'avocado', 'olive_oil', 'tomato', 'salt', 'longganisa_sausage', 'pork', 'pickle', 'mayonnaise', 'cheese', 'olive', 'pepper', 'onion', 'black_pepper', 'jalapeno', 'hamburger_bun', 'sausage', 'paprika']"
Myśliwska,['Poland'],"['juniper_berry', 'mustard', 'pepper', 'mustard_seed', 'sugar', 'coriander', 'hog_casing', 'crushed_red_pepper', 'water', 'thyme', 'allspice', 'garlic', 'pork', 'salt', 'marjoram']"
Cap Cai,"['Indonesia', 'China']","['starch', 'oil', 'snap_pea', 'garlic', 'mushroom', 'cauliflower', 'salt', 'pea', 'corn_starch', 'baby_corn', 'chicken_broth', 'corn', 'tofu', 'bell_pepper', 'shrimp', 'sesame_oil', 'carrot', 'soy_sauce', 'pepper', 'broth', 'oyster_sauce', 'cabbage', 'broccoli', 'ginger', 'napa_cabbage', 'chicken']"
Kalu Dodol,['Sri Lanka'],"['coconut_milk', 'vanilla', 'nut', 'jaggery', 'rice_flour', 'cashew_nut', 'coconut', 'ghee', 'nutmeg', 'rice', 'treacle', 'flour', 'cardamom', 'salt', 'milk', 'cashew']"
Oyster Vermicelli,['Taiwan'],"['black_vinegar', 'pepper', 'vermicelli_noodle', 'fried_shallot', 'oyster', 'noodle', 'garlic', 'soy_sauce', 'pork', 'white_pepper', 'chili_sauce', 'shallot', 'pork_intestine', 'vinegar', 'chili', 'cilantro']"
Melomakarono,"['Greece', 'Cyprus']","['orange_zest', 'walnut', 'lemon', 'sugar', 'oil', 'brandy', 'orange_juice', 'honey', 'lemon_zest', 'baking_soda', 'olive', 'cinnamon', 'semolina', 'olive_oil', 'clove', 'flour', 'orange', 'baking_powder']"
Bakewell Pudding,['United Kingdom'],"['lemon', 'sugar', 'egg', 'lemon_zest', 'ground_almond', 'puff_pastry', 'almond', 'butter', 'jam']"
Fried Milk,"['Hong Kong', 'Macau', 'China']","['condensed_milk', 'bread_crumb', 'starch', 'corn_starch', 'sugar', 'egg', 'vanilla', 'corn', 'bread', 'vanilla_extract', 'milk']"
Sate Kambing,['Indonesia'],"['pepper', 'lime', 'peanut_sauce', 'sugar', 'coriander', 'galangal', 'lime_juice', 'meat', 'goat_meat', 'garlic', 'chili_pepper', 'goat', 'cumin', 'shallot', 'chili', 'salt', 'sweet_soy_sauce', 'peanut']"
Sataraš,"['Bosnia and Herzegovina', 'Serbia', 'Croatia']","['bell_pepper', 'pepper', 'egg', 'oil', 'onion', 'garlic', 'zucchini', 'bay_leaf', 'tomato', 'salt', 'paprika']"
Cocido Montañés,['Spain'],"['potato', 'pork_rib', 'white_bean', 'cabbage', 'garlic', 'morcilla', 'bacon', 'pork', 'bay_leaf', 'bean', 'sausage', 'chorizo']"
Blåbärssoppa,['Sweden'],"['lemon', 'starch', 'corn_starch', 'vanilla', 'sugar', 'water', 'corn', 'blueberry', 'cinnamon', 'lemon_juice']"
Bunny Chow,['South Africa'],"['sambal', 'curry_filling', 'lamb', 'coconut', 'bread', 'garnish', 'white_bread', 'vegetable', 'chicken']"
Puttu,"['Sri Lanka', 'India']","['sugar', 'water', 'jaggery', 'grated_coconut', 'rice_flour', 'coconut', 'ghee', 'rice', 'flour', 'cardamom', 'salt']"
Tortang Kalabasa,['Philippines'],"['green_onion', 'pepper', 'egg', 'tomato', 'onion', 'kalabasa', 'meat', 'carrot', 'garlic', 'ground_meat', 'fish', 'flour', 'salt', 'fish_sauce']"
Angel Cake,['United Kingdom'],"['cream_of_tartar', 'cream', 'vanilla', 'sugar', 'egg', 'egg_white', 'flour', 'vanilla_extract']"
Pâté au saumon,['Canada'],"['cream', 'lemon', 'parsley', 'pastry_dough', 'potato', 'pepper', 'egg', 'onion', 'salmon', 'dill', 'lemon_juice', 'butter', 'salt', 'milk']"
Jemput-jemput,"['Brunei', 'Malaysia', 'Indonesia', 'Singapore']","['potato', 'sweet_potato', 'sugar', 'shredded_coconut', 'water', 'corn', 'banana', 'coconut', 'flour', 'salt']"
Lomo Saltado,['Peru'],"['onion', 'vinegar', 'aji_amarillo', 'french_fry', 'garlic', 'soy_sauce', 'cumin', 'beef', 'rice', 'tomato']"
Sulu Köfte,['Turkey'],"['parsley', 'pepper', 'mint', 'onion', 'sumac', 'cinnamon', 'dill', 'tomato_paste', 'rice', 'tomato', 'ground_lamb', 'salt', 'lamb']"
Queen Elizabeth Cake,['Canada'],"['walnut', 'cream', 'vanilla', 'sugar', 'egg', 'date', 'water', 'baking_soda', 'brown_sugar', 'coconut', 'butter', 'flour', 'vanilla_extract', 'baking_powder']"
Red Braised Pork Belly,['China'],"['dark_soy_sauce', 'aromatic_spice', 'light', 'spice', 'sugar', 'combination_of_ginger', 'pork_belly', 'garlic', 'star_anise', 'pork', 'ginger', 'rice', 'wine', 'rice_wine', 'chili']"
Unadon,['Japan'],"['mirin', 'pepper', 'sansho_pepper', 'eel', 'sugar', 'wasabi', 'tare_sauce', 'pickled_ginger', 'soy_sauce', 'ginger', 'rice', 'sake', 'nori']"
Kaalilaatikko,['Finland'],"['cream', 'stock', 'syrup', 'pepper', 'butter', 'onion', 'beef_stock', 'black_pepper', 'meat', 'jam', 'cabbage', 'beef', 'rice', 'lingonberry_jam', 'ground_meat', 'salt']"
Sancochado,['Peru'],"['lime', 'chickpea', 'garlic', 'beef', 'salt', 'sweet_potato', 'corn', 'pork', 'parsley', 'carrot', 'corn_on_the_cob', 'rice', 'leek', 'potato', 'celery', 'pepper', 'cassava', 'onion', 'black_pepper', 'cabbage', 'chili_pepper', 'chili', 'chicken']"
Ube Ice Cream,['Philippines'],"['cream', 'coconut_milk', 'vanilla', 'sugar', 'ube_halaya', 'evaporated_milk', 'sweetened_condensed_milk', 'purple_food_coloring', 'ube', 'coconut', 'macapuno', 'ube_extract', 'heavy_cream', 'vanilla_extract', 'salt', 'milk']"
Plate Lunch,['United States'],"['fried_egg', 'pickled_vegetable', 'white_rice', 'egg', 'meat', 'macaroni_salad', 'gravy', 'pork', 'beef', 'rice', 'green_salad', 'fish', 'brown_gravy', 'vegetable', 'chicken']"
Bryndzové Halušky,['Slovakia'],"['potato', 'cream', 'pepper', 'water', 'bryndza', 'black_pepper', 'bacon', 'chive', 'flour', 'salt', 'sour_cream']"
Ankake Spaghetti,['Japan'],"['worcestershire_sauce', 'starch', 'pepper', 'corn_starch', 'oil', 'meat', 'spaghetti', 'black_pepper', 'parmesan_cheese', 'corn', 'olive', 'cheese', 'soy_sauce', 'olive_oil', 'ketchup', 'vegetable']"
Abgoosht,['Iran'],"['potato', 'pepper', 'lime', 'dried_lime', 'chickpea', 'turmeric', 'onion', 'bean', 'white_bean', 'sumac', 'garlic', 'cinnamon', 'saffron', 'beef', 'tomato_paste', 'tomato', 'salt', 'lamb']"
Rebujito,['Spain'],"['ice', 'fresh_mint_leaf', 'lemon_lime_soda', 'lemon', 'lime', 'mint', 'lemon_slice', 'sherry', 'fino_sherry']"
Fritelli castagnini,['France'],"['wheat', 'sugar', 'oil', 'water', 'chestnut_flour', 'olive', 'chestnut', 'wheat_flour', 'olive_oil', 'flour', 'salt', 'baking_powder']"
Senate Bean Soup,['United States'],"['celery', 'potato', 'parsley', 'pepper', 'onion', 'water', 'navy_bean', 'ham_hock', 'black_pepper', 'garlic', 'bean', 'ham', 'salt']"
Schnitz Un Knepp,['United States'],"['apple', 'sugar', 'egg', 'dried_apple', 'milk', 'brown_sugar', 'cinnamon', 'butter', 'flour', 'ham', 'salt', 'baking_powder']"
Musakhan,['Palestine'],"['lemon', 'pepper', 'oil', 'onion', 'black_pepper', 'allspice', 'sumac', 'olive', 'cinnamon', 'lemon_juice', 'saffron', 'flatbread', 'olive_oil', 'pine_nut', 'salt', 'chicken', 'nut']"
Spekesild,"['Finland', 'Sweden', 'Norway', 'Denmark']","['herring', 'salt']"
Halo-halo,['Philippines'],"['jackfruit', 'ube_halaya', 'evaporated_milk', 'jelly_cube', 'ice_cream', 'leche_flan', 'crushed_ice', 'sweetened_banana_slice', 'banana', 'bean', 'milk', 'coconut_strip', 'cream', 'ice', 'pinipig', 'nata_de_coco', 'sago_pearl', 'coconut', 'sweetened_bean']"
Eish Shamsi,['Egypt'],"['sourdough_starter', 'wheat', 'water', 'wheat_flour', 'yeast', 'flour', 'salt']"
Gozinaki,['Georgia'],"['walnut', 'lemon', 'sugar', 'honey', 'lemon_juice']"
Taco Rice,['Japan'],"['hot_sauce', 'cream', 'salsa', 'lettuce', 'tomato', 'onion', 'cooked_white_rice', 'cheese', 'ground_beef', 'avocado', 'beef', 'rice', 'taco_seasoning', 'shredded_cheese', 'sour_cream']"
Papet Vaudois,['Switzerland'],"['potato', 'cream', 'pepper', 'butter', 'onion', 'sausage', 'white_wine', 'wine', 'leek', 'salt']"
Pommes Dauphine,['France'],"['potato', 'pepper', 'egg', 'choux_pastry', 'salt', 'garlic', 'cheese', 'nutmeg', 'butter', 'flour', 'herb']"
Cazón En Adobo,['Spain'],"['oil', 'vinegar', 'dogfish', 'garlic', 'pimenton', 'olive', 'oregano', 'olive_oil', 'flour', 'salt', 'paprika']"
Fårikål,['Norway'],"['peppercorn', 'wheat', 'water', 'cabbage', 'wheat_flour', 'black_peppercorn', 'flour', 'salt', 'lamb']"
Supplì,['Italy'],"['bread_crumb', 'oil', 'egg', 'onion', 'tomato_sauce', 'broth', 'chicken_broth', 'garlic', 'cheese', 'olive', 'pecorino_cheese', 'rice', 'olive_oil', 'bread', 'mozzarella_cheese', 'tomato', 'arborio_rice', 'chicken']"
Bilo-bilo,['Philippines'],"['potato', 'sweet_potato', 'coconut_milk', 'jackfruit', 'sugar', 'tapioca_pearl', 'water', 'glutinou_rice_flour', 'saba_banana', 'banana', 'ube', 'coconut', 'rice', 'pandan_leaf', 'flour', 'milk']"
Pandoro,['Italy'],"['orange_zest', 'lemon', 'cocoa_butter', 'butter', 'vanilla', 'sugar', 'egg', 'water', 'powdered_sugar', 'honey', 'lemon_zest', 'yeast', 'flour', 'orange', 'salt', 'milk']"
Nasi Goreng Pattaya,"['Malaysia', 'Indonesia', 'Singapore']","['egg', 'cucumber', 'rice', 'chili_sauce', 'chili', 'chicken']"
